d,k,p,q,q_gt_6M,nearest_mu_q,nearest_tau_q,mu_dist_lower,mu_dist_upper,tau_dist_lower,tau_dist_upper,epsilon_lower,threshold_upper
40,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147288266259059292912344614092808,15136144531388965939312829111354084553,0.459858997156513642794838434255,0.459858997156513642794838434256,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.444762499534815056757852011723,184.44316100871417297810
41,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147246804502225770726589065643615,15136144531388965939312829111354084553,0.127925232778933350808206143851,0.127925232778933350808206143852,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.112828735157234764771219721319,187.29360920725678990298
42,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147221179727234765962781272400896,15136144531388965939312829111354084553,0.142294813278019970102384835157,0.142294813278019970102384835158,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.127198315656321384065398412625,187.04449571511837429580
43,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147205342745323038865980408309781,15136144531388965939312829111354084553,0.423805201066816940111446338975,0.423805201066816940111446338976,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.408708703445118354074459916443,184.61883779095330090558
44,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147195554952217325455475375695667,15136144531388965939312829111354084553,0.342038806185507273262612233158,0.342038806185507273262612233159,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.326942308563808687225625810626,185.08270618577291408334
45,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147189505763401214213668266467435,15136144531388965939312829111354084553,0.427199669511637976710374632552,0.427199669511637976710374632553,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.412103171889939390673388210020,184.60164983131118344789
46,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147185767159107755121965284127737,15136144531388965939312829111354084553,0.198548268936303892148610660614,0.198548268936303892148610660615,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.183451771314605306111624238082,186.28349114679104986043
47,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147183456574583629758364498531550,15136144531388965939312829111354084553,0.457504046861817533353183007290,0.457504046861817533353183007291,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.442407549240118947316196584758,184.45419339852139367083
48,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147182028554813733312779093846080,15136144531388965939312829111354084553,0.307330963204695069499887616552,0.307330963204695069499887616553,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.292234465582996483462901194020,185.31592423796393540167
49,72,15136144531388965939312829111354084553,11952668732083860469560629603327231815,True,-7085147181145990059289455811151310945,15136144531388965939312829111354084553,0.199182540353924414870837233335,0.199182540353924414870837233336,0.00000000000000000000000000000000000005032165873899528678995474177292814674055932,0.00000000000000000000000000000000000005032165873899528678995474177292814674055933,0.184086042732225828833850810803,186.27631870142315660893
